,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-NE--SIN,CG-CD-NE-CZ--SIN,CD-NE-CZ-NH1--SIN,CD-NE-CZ-NH2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-NE--COS,CG-CD-NE-CZ--COS,CD-NE-CZ-NH1--COS,CD-NE-CZ-NH2--COS
N-CA-CB-CG--SIN,1.0,0.21025834703043167,0.07201670962292173,0.04075901226874427,-0.008252895620829632,0.006272400542813842,-0.41252207615345704,-0.07999110332751025,0.011799024947460027,0.020108631924205228,-0.012252361277490438,0.012272934194886438
CA-CB-CG-CD--SIN,0.21025834703043167,1.0,0.20218971625157964,0.08501826358135521,-0.00850974487336149,0.01120726578314474,-0.3221875653769204,-0.16235030130219213,-0.006835616499738649,-0.04220387048510704,-0.006494742804393105,0.0065164278461325165
CB-CG-CD-NE--SIN,0.07201670962292173,0.20218971625157964,1.0,0.15378943382956578,-0.010501881654358645,0.008299256211934112,-0.07001201136872448,-0.03288449991656407,-0.025873552427537406,-0.019603510960067006,-0.001195846178552681,0.0012373284221048717
CG-CD-NE-CZ--SIN,0.04075901226874427,0.08501826358135521,0.15378943382956578,1.0,0.059292677242235456,-0.05599830844279686,-0.04650480588525913,-0.02092078822229763,-0.010462589615032603,-0.04274165173054572,0.0007951509057165002,-0.0007428023221505984
CD-NE-CZ-NH1--SIN,-0.008252895620829632,-0.00850974487336149,-0.010501881654358645,0.059292677242235456,1.0,-0.8400264046411643,0.0064000883374940865,-0.005060366911304771,-7.700705463949999e-05,0.003198523034377248,0.004834212647867213,-0.004505442680537049
CD-NE-CZ-NH2--SIN,0.006272400542813842,0.01120726578314474,0.008299256211934112,-0.05599830844279686,-0.8400264046411643,1.0,-0.006171422866523615,0.003860982985515011,0.00012527014022673498,-0.0016919397658209127,-0.005954362890137365,0.006098281148180423
N-CA-CB-CG--COS,-0.41252207615345704,-0.3221875653769204,-0.07001201136872448,-0.04650480588525913,0.0064000883374940865,-0.006171422866523615,1.0,0.008029545760596949,-0.08266241820370579,-0.015447678839717273,0.008568453187106848,-0.008566192375934771
CA-CB-CG-CD--COS,-0.07999110332751025,-0.16235030130219213,-0.03288449991656407,-0.02092078822229763,-0.005060366911304771,0.003860982985515011,0.008029545760596949,1.0,-0.1260974952168064,0.011951180027002678,-0.014604501233507698,0.01465607357051744
CB-CG-CD-NE--COS,0.011799024947460027,-0.006835616499738649,-0.025873552427537406,-0.010462589615032603,-7.700705463949999e-05,0.00012527014022673498,-0.08266241820370579,-0.1260974952168064,1.0,-0.04925839909680495,-0.025872474450322296,0.025855256654469635
CG-CD-NE-CZ--COS,0.020108631924205228,-0.04220387048510704,-0.019603510960067006,-0.04274165173054572,0.003198523034377248,-0.0016919397658209127,-0.015447678839717273,0.011951180027002678,-0.04925839909680495,1.0,-0.019310349719703208,0.019336026289225115
CD-NE-CZ-NH1--COS,-0.012252361277490438,-0.006494742804393105,-0.001195846178552681,0.0007951509057165002,0.004834212647867213,-0.005954362890137365,0.008568453187106848,-0.014604501233507698,-0.025872474450322296,-0.019310349719703208,1.0,-0.9998588962916818
CD-NE-CZ-NH2--COS,0.012272934194886438,0.0065164278461325165,0.0012373284221048717,-0.0007428023221505984,-0.004505442680537049,0.006098281148180423,-0.008566192375934771,0.01465607357051744,0.025855256654469635,0.019336026289225115,-0.9998588962916818,1.0
