,N-CA-CB-CG--SIN,CA-CB-CG-ND1--SIN,CA-CB-CG-CD2--SIN,CB-CG-ND1-CE1--SIN,CB-CG-CD2-NE2--SIN,CG-ND1-CE1-NE2--SIN,ND1-CE1-NE2-CD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-ND1--COS,CA-CB-CG-CD2--COS,CB-CG-ND1-CE1--COS,CB-CG-CD2-NE2--COS,CG-ND1-CE1-NE2--COS,ND1-CE1-NE2-CD2--COS
N-CA-CB-CG--SIN,1.0,0.04951292322003305,-0.04955864971257708,-0.015483333116084817,0.015289533069209178,-0.0015486734613410719,0.005300127606031094,-0.32037147336830823,0.03549315870426311,-0.04483528636628492,-0.002851671025625127,-0.0008345926214159837,0.022183188678381226,0.0316879352087811
CA-CB-CG-ND1--SIN,0.04951292322003305,1.0,-0.9997101833174643,-0.16747779578806926,0.16726872225908426,0.05455068336018678,0.020614933192430997,-0.15856639872106654,-0.07235589074025423,0.07018167692827647,-0.03517922001649295,-0.0342546125903355,0.0038048689833593335,0.0026186765226771454
CA-CB-CG-CD2--SIN,-0.04955864971257708,-0.9997101833174643,1.0,0.17037728081151426,-0.1703287812886605,-0.056118023024591276,-0.019841425979597753,0.1596616783832848,0.07182179594944967,-0.06955028946918865,0.03688571059313424,0.03558654400299052,-0.002010861750530748,-0.0004695677899259589
CB-CG-ND1-CE1--SIN,-0.015483333116084817,-0.16747779578806926,0.17037728081151426,1.0,-0.9790645138788677,-0.058329260892579414,-0.06833123195035562,0.018323336027168177,0.01996118117086132,-0.003229135053113191,0.07279715974703826,0.07371422339599376,-0.0075127565815897275,0.018325551848220715
CB-CG-CD2-NE2--SIN,0.015289533069209178,0.16726872225908426,-0.1703287812886605,-0.9790645138788677,1.0,0.23498577191786854,-0.12738349679407698,-0.01638807763704682,-0.014577216159290998,-0.002305308177066806,-0.07386512057948323,-0.07365953665299928,-0.013238973198780419,-0.04137409688776069
CG-ND1-CE1-NE2--SIN,-0.0015486734613410719,0.05455068336018678,-0.056118023024591276,-0.058329260892579414,0.23498577191786854,1.0,-0.7045868744026836,0.016177466368119477,0.01936064360678793,-0.023861045705449106,-0.01587778336846178,-0.012963020700016386,-0.10387846241246097,-0.08120737866505409
ND1-CE1-NE2-CD2--SIN,0.005300127606031094,0.020614933192430997,-0.019841425979597753,-0.06833123195035562,-0.12738349679407698,-0.7045868744026836,1.0,-0.009994213891657255,-0.031516347436053964,0.03156797874400202,0.008329939969652703,-0.001938109914420653,0.10115045692023478,0.130282943678666
N-CA-CB-CG--COS,-0.32037147336830823,-0.15856639872106654,0.1596616783832848,0.018323336027168177,-0.01638807763704682,0.016177466368119477,-0.009994213891657255,1.0,0.03372967622057105,-0.027616215304331733,-0.00043701177061944397,-0.00018879512984127473,0.019688936934850923,0.008728828618410733
CA-CB-CG-ND1--COS,0.03549315870426311,-0.07235589074025423,0.07182179594944967,0.01996118117086132,-0.014577216159290998,0.01936064360678793,-0.031516347436053964,0.03372967622057105,1.0,-0.9963099858363573,0.020189984906657476,0.023603961054471826,0.0028468657678182826,0.01555755712052425
CA-CB-CG-CD2--COS,-0.04483528636628492,0.07018167692827647,-0.06955028946918865,-0.003229135053113191,-0.002305308177066806,-0.023861045705449106,0.03156797874400202,-0.027616215304331733,-0.9963099858363573,1.0,-0.0011571114581579542,-0.0035133620517303673,-0.005111872604862126,-0.014619965579104704
CB-CG-ND1-CE1--COS,-0.002851671025625127,-0.03517922001649295,0.03688571059313424,0.07279715974703826,-0.07386512057948323,-0.01587778336846178,0.008329939969652703,-0.00043701177061944397,0.020189984906657476,-0.0011571114581579542,1.0,0.979983328323229,-0.05284331857086605,-0.07197936771108376
CB-CG-CD2-NE2--COS,-0.0008345926214159837,-0.0342546125903355,0.03558654400299052,0.07371422339599376,-0.07365953665299928,-0.012963020700016386,-0.001938109914420653,-0.00018879512984127473,0.023603961054471826,-0.0035133620517303673,0.979983328323229,1.0,-0.09021722646919776,-0.06848512548669863
CG-ND1-CE1-NE2--COS,0.022183188678381226,0.0038048689833593335,-0.002010861750530748,-0.0075127565815897275,-0.013238973198780419,-0.10387846241246097,0.10115045692023478,0.019688936934850923,0.0028468657678182826,-0.005111872604862126,-0.05284331857086605,-0.09021722646919776,1.0,0.6782872777866152
ND1-CE1-NE2-CD2--COS,0.0316879352087811,0.0026186765226771454,-0.0004695677899259589,0.018325551848220715,-0.04137409688776069,-0.08120737866505409,0.130282943678666,0.008728828618410733,0.01555755712052425,-0.014619965579104704,-0.07197936771108376,-0.06848512548669863,0.6782872777866152,1.0
