,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD2-CE2--SIN,CB-CG-CD2-CE3--SIN,CB-CG-CD1-NE1--SIN,CG-CD2-CE2-CZ2--SIN,CG-CD2-CE3-CZ3--SIN,CD2-CE3-CZ3-CH2--SIN,CE3-CZ3-CH2-CZ2--SIN,CD2-CE2-CZ2-CH2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD2-CE2--COS,CB-CG-CD2-CE3--COS,CB-CG-CD1-NE1--COS,CG-CD2-CE2-CZ2--COS,CG-CD2-CE3-CZ3--COS,CD2-CE3-CZ3-CH2--COS,CE3-CZ3-CH2-CZ2--COS,CD2-CE2-CZ2-CH2--COS
N-CA-CB-CG--SIN,1.0,-0.010707360773999792,0.006427526511485215,0.01094824237382534,-0.029699749678979176,0.009857582796690518,0.008285757663599099,0.005335432746945015,0.012905284636147313,0.019876695532540574,0.006691903586417229,-0.009025817375942775,-0.007144920071534374,0.02360061341920304,0.009318924109634308,-0.004959020612908881,0.008961082141353952,-0.034014018698475514,0.004038907327198464,-0.018413051065013987,-0.02805642184366956,-0.021273861488324365
CA-CB-CG-CD1--SIN,-0.010707360773999792,1.0,-0.03807758661476542,0.012101154065125658,0.02847933382229699,-0.04802130789431581,-0.023198733267747084,-0.0005360343363556997,-0.022007142230065453,0.023225402846655214,0.015756957757523355,-0.007378432193056977,-0.006148030309548803,0.006021683737047094,-0.01939158975843504,0.010686985178889538,-0.03739037499415537,0.004676721440907694,0.022294807628227796,-0.013958415428939532,-0.021454722956208355,-0.006928775072784164
CA-CB-CG-CD2--SIN,0.006427526511485215,-0.03807758661476542,1.0,-0.014223190910530913,0.024396184718810138,0.0045255773636635925,0.008261199625681817,0.02032614675510508,-0.012287495533327688,0.009336105032672681,0.0032549227367990674,0.02052496878317069,0.036356240834070915,-0.025388873235404133,0.009186401919261816,-0.022097717499371387,0.0009172615791675498,0.014709775922217215,0.022788544785894278,0.010868137587041924,-0.015520155042851817,0.033306821756144044
CB-CG-CD2-CE2--SIN,0.01094824237382534,0.012101154065125658,-0.014223190910530913,1.0,-0.24905094732360264,-0.7746759296898099,0.08366689344632795,-0.12852198209475618,-0.014201589656510437,-0.0017489637314592064,0.08800263749398075,-0.015867106554092795,0.038885860907800864,0.03999914645067877,0.043978439005983326,-0.04841722710561618,0.050350363780377834,0.020101386385420306,0.03280937985954299,0.009880213713959021,0.036461541398668654,-0.012369342208545636
CB-CG-CD2-CE3--SIN,-0.029699749678979176,0.02847933382229699,0.024396184718810138,-0.24905094732360264,1.0,0.23141587398651584,0.10104000532081109,-0.1199035457805128,-0.04955774893077956,0.007521672250025517,-0.0325174722585686,0.006555238785265081,-0.012423754911168117,0.028781210226018452,-0.007573828985860474,-0.010341636440527574,-0.00020569023357482337,0.022840596511382698,-0.005265478480357815,0.03891442612916507,0.028408837667137934,0.02731850231043954
CB-CG-CD1-NE1--SIN,0.009857582796690518,-0.04802130789431581,0.0045255773636635925,-0.7746759296898099,0.23141587398651584,1.0,-0.11096185414201518,0.1605544768284574,0.03114877985460672,-0.011823462028430994,-0.05965015953674779,0.019093997292916727,-0.01055497764123949,-0.04007231245006878,-0.032223477653617494,0.013958872065058933,-0.04622834752173864,0.0014495752592938948,-0.04955954337586569,-0.01107795977354593,-0.03035883237996579,-0.002961209803823743
CG-CD2-CE2-CZ2--SIN,0.008285757663599099,-0.023198733267747084,0.008261199625681817,0.08366689344632795,0.10104000532081109,-0.11096185414201518,1.0,-0.478262099730087,0.003700712693689334,0.003365090786703494,-0.026631497043111726,-0.0055028447581756176,0.0028525765346063955,0.0005093112865513084,0.049450705420736096,-0.020530554538172593,0.04125470307617096,0.014854554438097719,0.019239374478329716,0.029249517532703675,0.02920523677893592,0.031872967112911585
CG-CD2-CE3-CZ3--SIN,0.005335432746945015,-0.0005360343363556997,0.02032614675510508,-0.12852198209475618,-0.1199035457805128,0.1605544768284574,-0.478262099730087,1.0,0.0014111843252037639,-0.05305611399431367,-0.009922995256760396,0.007087944540030797,0.010073327636144394,-0.014489760847154776,-0.004457914422130678,0.02371213349582074,-0.005263708745382589,-0.010209586341349573,-0.033644392260814934,-0.005936998307110826,-0.013366394840642745,-0.05066656641026152
CD2-CE3-CZ3-CH2--SIN,0.012905284636147313,-0.022007142230065453,-0.012287495533327688,-0.014201589656510437,-0.04955774893077956,0.03114877985460672,0.003700712693689334,0.0014111843252037639,1.0,-0.618312788989138,-0.002539373821201151,-0.013652511348650287,0.0008101302306274253,0.010434607243966741,0.008112965367292101,0.010048055912008467,0.004090155853014646,-0.03117412357507209,-0.02727332236479039,-0.026138958480937904,-0.007564075571224523,-0.025710180703108532
CE3-CZ3-CH2-CZ2--SIN,0.019876695532540574,0.023225402846655214,0.009336105032672681,-0.0017489637314592064,0.007521672250025517,-0.011823462028430994,0.003365090786703494,-0.05305611399431367,-0.618312788989138,1.0,0.1558343223343233,0.026395878380104827,0.00863350715519255,-0.03842143348673098,-0.0036102504806956393,-0.007967406627862203,-0.013364780973681321,0.03743774483608796,0.030957609419988884,0.012531878235335187,-0.01209188927925613,-0.04901172093528412
