,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD1-CE1--SIN,CB-CG-CD2-CE2--SIN,CG-CD1-CE1-CZ--SIN,CD1-CE1-CZ-CE2--SIN,CZ-CD1-CE1-CZ--SIN,CE1-CZ-OH--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD1-CE1--COS,CB-CG-CD2-CE2--COS,CG-CD1-CE1-CZ--COS,CD1-CE1-CZ-CE2--COS,CZ-CD1-CE1-CZ--COS,CE1-CZ-OH--COS
N-CA-CB-CG--SIN,1.0,-0.007551786011543048,0.014936337188746922,-0.0101300465654297,0.00996782091115189,0.0002891565954543157,0.006824737389415968,0.0002891565954543157,-0.009546592824554024,-0.006180963016383424,-0.008618702625316698,-0.009659612510473465,-0.009534642918818056,-0.010426550238918933,0.01060216003524413,-0.005155229226011378,0.01060216003524413,-0.009266942055122131
CA-CB-CG-CD1--SIN,-0.007551786011543048,1.0,-0.11127922480462661,-0.004214553782656205,-0.0013270512893495399,0.014184885207236559,0.0025691314023180804,0.014184885207236559,0.023076992373897046,-0.006468881957755717,0.009421160002685182,-0.029964907016072583,0.015027132599796217,0.02175192089603665,0.025154038801161047,0.02887010916690998,0.025154038801161047,0.02563245967327864
CA-CB-CG-CD2--SIN,0.014936337188746922,-0.11127922480462661,1.0,0.008953089091791265,0.0016730808409816354,0.041606927006123284,-0.017766353888086256,0.041606927006123284,0.017899512460267587,0.01186921277157625,0.045047908594537465,0.00046277650476474636,0.002833225936715565,0.011172447935546692,0.014178831845072442,0.009941631906656322,0.014178831845072442,-0.004712280565515343
CB-CG-CD1-CE1--SIN,-0.0101300465654297,-0.004214553782656205,0.008953089091791265,1.0,-0.681322345178912,-0.01947854371051191,0.0066237093521232275,-0.01947854371051191,-0.012681042273753742,0.0072533041959696185,-0.013378244902752022,-0.0112700750262723,-0.03542653912684913,-0.04940827640545921,-0.022929510769663514,0.012113158963304378,-0.022929510769663514,0.01504437906129519
CB-CG-CD2-CE2--SIN,0.00996782091115189,-0.0013270512893495399,0.0016730808409816354,-0.681322345178912,1.0,0.07348174220239032,-0.04431299307406925,0.07348174220239032,0.02878049757769995,-0.006453374863335415,0.003507459923563273,0.028151296836372203,0.03126711324481793,0.04597971873595483,0.022158780873584624,0.009946523098735695,0.022158780873584624,-0.013823847228964086
CG-CD1-CE1-CZ--SIN,0.0002891565954543157,0.014184885207236559,0.041606927006123284,-0.01947854371051191,0.07348174220239032,1.0,-0.4901944866775744,1.0,-0.09448419498008731,-0.02612967453398841,-0.025705537451366365,-0.0018263141353585812,-0.0018707209272540274,0.0023214481884306568,0.04260109666062983,0.027425685649371898,0.04260109666062983,0.013532454142666182
CD1-CE1-CZ-CE2--SIN,0.006824737389415968,0.0025691314023180804,-0.017766353888086256,0.0066237093521232275,-0.04431299307406925,-0.4901944866775744,1.0,-0.4901944866775744,-0.06755508695834857,0.01662344421093993,0.01963247408564813,0.0011752227059707914,-0.025587926436279582,-0.028873240459641934,-0.00609722406404727,0.0015415992306738132,-0.00609722406404727,0.008647143142620661
CZ-CD1-CE1-CZ--SIN,0.0002891565954543157,0.014184885207236559,0.041606927006123284,-0.01947854371051191,0.07348174220239032,1.0,-0.4901944866775744,1.0,-0.09448419498008731,-0.02612967453398841,-0.025705537451366365,-0.0018263141353585812,-0.0018707209272540274,0.0023214481884306568,0.04260109666062983,0.027425685649371898,0.04260109666062983,0.013532454142666182
CE1-CZ-OH--SIN,-0.009546592824554024,0.023076992373897046,0.017899512460267587,-0.012681042273753742,0.02878049757769995,-0.09448419498008731,-0.06755508695834857,-0.09448419498008731,1.0,0.004032135955265991,-0.025464153144402323,-0.0011269389821022893,0.017222457660505102,0.016524200836570174,0.0077062490174817635,0.00896930920236792,0.0077062490174817635,0.027060200983736828
N-CA-CB-CG--COS,-0.006180963016383424,-0.006468881957755717,0.01186921277157625,0.0072533041959696185,-0.006453374863335415,-0.02612967453398841,0.01662344421093993,-0.02612967453398841,0.004032135955265991,1.0,0.01645533804730117,0.0006887167796440475,0.016368159042327805,0.012024711789380539,-0.006792219954577144,-0.0009353809942361863,-0.006792219954577144,0.010775837122580886
